TABLE 4A - Species         ,Grade                        ,Size           ,Bending Fb ,Tension Ft ,Shear Fv ,Comp Fcp ,Comp Fc ,Modulus E ,Emin   ,SG   ,Agency
ALASKA CEDAR               ,Select Structural            ,"2"" & Wider"  ,      1150 ,       625 ,     165 ,     525 ,   1000 ,  1400000 ,510000 ,0.47 ,WCLIB
ALASKA CEDAR               ,No.1                         ,"2"" & Wider"  ,       975 ,       525 ,     165 ,     525 ,    900 ,  1300000 ,470000 ,0.47 ,WCLIB
ALASKA CEDAR               ,No.2                         ,"2"" & Wider"  ,       800 ,       425 ,     165 ,     525 ,    750 ,  1200000 ,440000 ,0.47 ,WCLIB
ALASKA CEDAR               ,No.3                         ,"2"" & Wider"  ,       450 ,       250 ,     165 ,     525 ,    425 ,  1100000 ,400000 ,0.47 ,WCLIB
ALASKA CEDAR               ,Stud                         ,"2"" & Wider"  ,       625 ,       350 ,     165 ,     525 ,    475 ,  1100000 ,400000 ,0.47 ,WCLIB
ALASKA CEDAR               ,Construction                 ,"2""-4""wide"  ,       900 ,       500 ,     165 ,     525 ,    950 ,  1200000 ,440000 ,0.47 ,WCLIB
ALASKA CEDAR               ,Standard                     ,"2""-4""wide"  ,       500 ,       275 ,     165 ,     525 ,    775 ,  1100000 ,400000 ,0.47 ,WCLIB
ALASKA CEDAR               ,Utility                      ,"2""-4""wide"  ,       250 ,       125 ,     165 ,     525 ,    500 ,  1000000 ,370000 ,0.47 ,WCLIB
ALASKA HEMLOCK             ,Select Structural            ,"2""&wider"    ,      1300 ,       825 ,     185 ,     440 ,   1200 ,  1700000 ,620000 ,0.46 ,WWPA
ALASKA HEMLOCK             ,No.1                         ,"2""&wider"    ,       900 ,       550 ,     185 ,     440 ,   1100 ,  1600000 ,580000 ,0.46 ,WWPA
ALASKA HEMLOCK             ,No.2                         ,"2""&wider"    ,       825 ,       475 ,     185 ,     440 ,   1050 ,  1500000 ,550000 ,0.46 ,WWPA
ALASKA HEMLOCK             ,No.3                         ,"2""&wider"    ,       475 ,       275 ,     185 ,     440 ,    600 ,  1400000 ,510000 ,0.46 ,WWPA
ALASKA HEMLOCK             ,Stud                         ,"2""&wider"    ,       650 ,       375 ,     185 ,     440 ,    650 ,  1400000 ,510000 ,0.46 ,WWPA
ALASKA HEMLOCK             ,Construction                 ,"2""&wider"    ,       950 ,       550 ,     185 ,     440 ,   1250 ,  1400000 ,510000 ,0.46 ,WWPA
ALASKA HEMLOCK             ,Standard                     ,"2""-4""wide"  ,       525 ,       300 ,     185 ,     440 ,   1050 ,  1300000 ,470000 ,0.46 ,WWPA
ALASKA HEMLOCK             ,Utility                      ,"2""-4""wide"  ,       250 ,       150 ,     185 ,     440 ,    700 ,  1200000 ,440000 ,0.46 ,WWPA
ALASKA SPRUCE              ,Select Structural            ,"2"" & Wider"  ,      1400 ,       900 ,     160 ,     330 ,   1200 ,  1600000 ,580000 ,0.41 ,WWPA
ALASKA SPRUCE              ,No.1                         ,"2"" & Wider"  ,       950 ,       600 ,     160 ,     330 ,   1100 ,  1500000 ,550000 ,0.41 ,WWPA
ALASKA SPRUCE              ,No.2                         ,"2"" & Wider"  ,       875 ,       500 ,     160 ,     330 ,   1050 ,  1400000 ,510000 ,0.41 ,WWPA
ALASKA SPRUCE              ,No.3                         ,"2"" & Wider"  ,       500 ,       300 ,     160 ,     330 ,    600 ,  1300000 ,470000 ,0.41 ,WWPA
ALASKA SPRUCE              ,Stud                         ,"2"" & Wider"  ,       675 ,       400 ,     160 ,     330 ,    675 ,  1300000 ,470000 ,0.41 ,WWPA
ALASKA SPRUCE              ,Construction                 ,"2""-4""wide"  ,      1000 ,       575 ,     160 ,     330 ,   1250 ,  1300000 ,470000 ,0.41 ,WWPA
ALASKA SPRUCE              ,Standard                     ,"2""-4""wide"  ,       550 ,       325 ,     160 ,     330 ,   1050 ,  1200000 ,440000 ,0.41 ,WWPA
ALASKA SPRUCE              ,Utility                      ,"2""-4""wide"  ,       275 ,       150 ,     160 ,     330 ,    700 ,  1100000 ,400000 ,0.41 ,WWPA
ALASKA YELLOW CEDAR        ,Select Structural            ,"2"" & Wider"  ,      1350 ,       800 ,     225 ,     510 ,   1200 ,  1500000 ,550000 ,0.46 ,WWPA; WCLIB
ALASKA YELLOW CEDAR        ,No.1                         ,"2"" & Wider"  ,       900 ,       525 ,     225 ,     510 ,   1050 ,  1400000 ,510000 ,0.46 ,WWPA; WCLIB
ALASKA YELLOW CEDAR        ,No.2                         ,"2"" & Wider"  ,       800 ,       450 ,     225 ,     510 ,   1000 ,  1300000 ,470000 ,0.46 ,WWPA; WCLIB
ALASKA YELLOW CEDAR        ,No.3                         ,"2"" & Wider"  ,       475 ,       250 ,     225 ,     510 ,    575 ,  1200000 ,440000 ,0.46 ,WWPA; WCLIB
ALASKA YELLOW CEDAR        ,Stud                         ,"2"" & Wider"  ,       625 ,       350 ,     225 ,     510 ,    625 ,  1200000 ,440000 ,0.46 ,WWPA; WCLIB
ALASKA YELLOW CEDAR        ,Construction                 ,"2"" & Wider"  ,       925 ,       500 ,     225 ,     510 ,   1250 ,  1300000 ,470000 ,0.46 ,WWPA; WCLIB
